Group	Species	Project	Run	Treatment	Replicate	Level	Time	Cultivar	Tissue	Stage	Genotype	Batch	Test	Design	DesignRef	DesignRed	Contrast
4	Glycine max	PRJNA720229	SRR14182760	None	1	L.0	0h	glycine-soja-C08	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
4	Glycine max	PRJNA720229	SRR14182737	salt	1	0.9%	1h	glycine-soja-C08	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
4	Glycine max	PRJNA720229	SRR14182715	salt	3	0.9%	1h	glycine-soja-C08	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
4	Glycine max	PRJNA720229	SRR14182726	salt	2	0.9%	1h	glycine-soja-C08	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
4	Glycine max	PRJNA720229	SRR14182757	salt	3	0.9%	2h	glycine-soja-C08	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
4	Glycine max	PRJNA720229	SRR14182758	salt	2	0.9%	2h	glycine-soja-C08	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
4	Glycine max	PRJNA720229	SRR14182689	salt	1	0.9%	2h	glycine-soja-C08	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
4	Glycine max	PRJNA720229	SRR14182751	salt	3	0.9%	4h	glycine-soja-C08	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
4	Glycine max	PRJNA720229	SRR14182752	salt	2	0.9%	4h	glycine-soja-C08	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
4	Glycine max	PRJNA720229	SRR14182753	salt	1	0.9%	4h	glycine-soja-C08	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
4	Glycine max	PRJNA720229	SRR14182690	salt	3	0.9%	24h	glycine-soja-C08	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
4	Glycine max	PRJNA720229	SRR14182693	salt	2	0.9%	24h	glycine-soja-C08	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
4	Glycine max	PRJNA720229	SRR14182704	salt	1	0.9%	24h	glycine-soja-C08	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
4	Glycine max	PRJNA720229	SRR14182754	salt	3	0.9%	48h	glycine-soja-C08	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
4	Glycine max	PRJNA720229	SRR14182755	salt	2	0.9%	48h	glycine-soja-C08	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
4	Glycine max	PRJNA720229	SRR14182756	salt	1	0.9%	48h	glycine-soja-C08	leaves	seedling-stage	G.0	B.0	Wald	~ Time	Time(0h)	DR.0	CT.0
